,PI_low,PI_hi,date,actual
0,65.74489122693049,124.51240655106308,2022-10-26,101.13
1,64.14425346713497,121.95077852199783,2022-10-27,105.96
2,65.87271382552038,125.67756194818048,2022-10-28,107.69
3,67.56460949446016,129.1174108000337,2022-10-31,80.03
4,63.235637178945524,120.08969371770766,2022-11-01,115.58
5,63.61671792210215,121.50592734770797,2022-11-02,129.0
6,67.78562639998813,133.20174906163348,2022-11-03,124.76001
7,77.52478133358147,149.93630223772695,2022-11-04,115.07001
8,77.1430785511463,148.1617826141486,2022-11-07,111.39
9,73.82932180803667,141.2444580072434,2022-11-08,116.79
10,72.45661736473662,138.9765496509217,2022-11-09,112.91
11,72.42364804999124,138.87591368280272,2022-11-10,109.91
12,71.94808823294262,137.50924838397518,2022-11-11,98.23
13,68.54162975909271,130.4791700645909,2022-11-14,114.80999
14,68.32050250170064,130.64996885757884,2022-11-15,122.5
15,70.98163338868265,137.54460906676962,2022-11-16,109.69
16,73.59621859918249,141.10739975906765,2022-11-17,115.57
17,73.06451742540317,139.77439732720387,2022-11-18,110.55999
18,71.50937360868127,136.94174265398158,2022-11-21,114.31999
19,71.97591478092708,137.79616939550567,2022-11-22,122.020004
20,73.07301328595602,140.95466661426494,2022-11-23,130.01
21,76.54125092545874,148.44714390380125,2022-11-24,121.91
22,78.37383535725357,151.1722875028248,2022-11-25,125.100006
23,78.45734952469516,151.05770281248908,2022-11-28,123.37
24,77.56463006984264,149.56629675288485,2022-11-29,130.19
25,78.73833064678176,152.24912935114915,2022-11-30,139.03
26,81.18377665769094,158.0139292256933,2022-12-01,136.85
27,83.99033342330246,163.09788645741037,2022-12-02,136.95
28,85.0171587515983,164.73327888948418,2022-12-05,135.53
29,84.45759527336457,163.62486284523249,2022-12-06,139.08
30,84.7067284775816,164.364752982708,2022-12-07,148.3
31,86.55335163925884,168.8107753355107,2022-12-08,134.71
32,87.0558151174733,168.77996558825077,2022-12-09,142.52
33,86.89296227519034,168.42772367107204,2022-12-12,135.71
34,85.31037660078113,165.46389823739483,2022-12-13,137.32
35,85.39400851797717,165.3373881478476,2022-12-14,131.18
36,83.64187121159141,161.79563582266562,2022-12-15,134.87
37,83.18431477715109,160.9463037616153,2022-12-16,118.12
38,80.11521058268211,154.34977633904222,2022-12-19,107.01
39,74.83216810781038,143.3919533686313,2022-12-20,106.28001
40,70.23600187182038,133.80626150501988,2022-12-21,97.81
41,66.89734752880602,127.06919759283437,2022-12-22,92.06
42,63.86242651958736,120.80702152265921,2022-12-23,83.52
43,59.78698422110907,112.46667078944931,2022-12-28,82.61
44,57.0426366235258,106.73017585979764,2022-12-29,82.58
45,55.63014139410545,103.9551612325887,2022-12-30,75.32
46,54.075081111895216,100.72964529235057,2023-01-03,71.14
47,51.48568047779584,95.51772551861811,2023-01-04,64.49
48,48.056021295135565,88.53823027436347,2023-01-05,70.54
49,47.21963585040773,86.85036707214427,2023-01-06,69.15
50,47.444250596599396,87.46876165673443,2023-01-09,74.97
51,49.101896191030484,90.8971801515373,2023-01-10,69.08
52,49.20197916684727,90.8910417520362,2023-01-11,65.87
53,47.86308246586326,88.13534794840511,2023-01-12,67.63
54,46.73691764972877,85.83502203665847,2023-01-13,63.35
55,45.80720165358261,83.92291459925494,2023-01-16,54.990005
56,42.812527017230344,78.00564235554222,2023-01-17,59.189995
57,41.203148341764816,74.57675286172166,2023-01-18,62.48
58,41.76924292417799,75.98059934085568,2023-01-19,60.9
59,43.03126229008245,78.32778965485952,2023-01-20,67.91
